method_name,category,best_for,description,when_to_use,fallback_method,source_name,source_url
PESTLE Analysis,Environmental Analysis,strategic/business,"A framework for analyzing external macro-environmental factors: Political, Economic, Social, Technological, Legal, and Environmental. Originated as ETPS/PEST by Francis J. Aguilar in 1967 in ""Scanning the Business Environment."" Legal and Environmental factors were added later to form PESTLE.","When analyzing external market forces, assessing country/regional risk, or understanding the broader context for strategic planning",SWOT,"Francis J. Aguilar, ""Scanning the Business Environment"" (Macmillan, 1967)","https://www.thestrategyinstitute.org/insights/understanding-external-business-environments-with-pest-and-pestle-analysis/"
Design Thinking,Human-Centered Design,new_product/human_centered,"An iterative, human-centered approach to innovation developed at Stanford d.school and IDEO. Consists of five stages: Empathize, Define, Ideate, Prototype, Test. Integrates desirability (human needs), feasibility (technology), and viability (business).","When solving complex, ambiguous problems that require deep user understanding, when developing new products or services, or when innovation requires balancing user needs with technical and business constraints",Crazy Eights,"Stanford d.school (Hasso Plattner Institute of Design) and IDEO","https://dschool.stanford.edu/"
Five Whys,Root Cause Analysis,root_cause/technical,"A root-cause analysis technique from the Toyota Production System (Ohno, 1988). Iteratively ask 'Why?' five times to drill from surface symptom to root cause. Simple but powerful for technical and operational problem diagnosis.","When a problem appears vague or has unclear root causes before research begins, or when the symptom- cause chain needs decomposition",Fishbone Diagram,"Taiichi Ohno, Toyota Production System: Beyond Large-Scale Production (Productivity Press, 1988)","https://en.wikipedia.org/wiki/Five_whys"
Crazy Eights,Rapid Ideation,creative/rapid_ideation,"A fast-paced sketching exercise developed by Jake Knapp as part of the Google Design Sprint. Participants fold paper into 8 sections and sketch 8 distinct ideas in 8 minutes. Forces rapid ideation beyond the first obvious solution.","When you need to quickly generate a wide variety of visual solutions, break creative blocks, or push participants past their initial, conventional ideas",Round Robin Brainstorming,"Jake Knapp, ""Sprint: How to Solve Big Problems and Test New Ideas in Just Five Days"" (Simon & Schuster, 2016)","https://www.thesprintbook.com/"
Worst Possible Idea,Creative Problem Solving,risk/failure/creative_block,"A brainstorming technique where participants intentionally generate the worst, most absurd, or most impractical ideas possible. The deliberately bad ideas are then examined and reversed to find valuable solutions. Lowers creative barriers and reduces fear of judgment.","When participants are inhibited or stressed about generating good ideas, when a group needs to loosen up, or when conventional brainstorming has become stagnant",Reverse Brainstorming,"Innovation Management; Brainstorming.co.uk, ""Worst Possible Idea Technique""","https://brainstorming.co.uk/worst-possible-idea-technique/"
Round Robin Brainstorming,Group Ideation,group/team,"A structured brainstorming technique where each participant takes turns contributing one idea at a time in sequence. Ensures equal participation, prevents dominance by vocal members, and builds on prior contributions iteratively.","When group brainstorming sessions are dominated by a few voices, when you need to ensure all team members contribute equally, or to build ideas collaboratively",Brainwriting 6-3-5,"Better Evaluation, ""Round Robin""; ResearchGate study on Round Robin Brainstorming","https://www.betterevaluation.org/methods-approaches/methods/round-robin"
Stepladder Technique,Group Decision Making,group/decision,"A group decision-making technique developed by Steven Rogelberg, Janet Barnes-Farrell, and Charles Lowe in 1992. Members enter the discussion sequentially: two members discuss first, then a third joins and shares ideas before group discussion, and so on. Prevents groupthink and ensures all members contribute.","When making important group decisions where groupthink is a risk, when you need to ensure all members contribute independently before group influence, or in high-stakes decision-making",Charette Procedure,"Steven Rogelberg, Janet Barnes-Farrell, Charles Lowe (1992), ""The Stepladder Technique""","https://www.mindtools.com/a848zs3/the-stepladder-technique"
Charette Procedure,Group Ideation,group/large_team,"A brainstorming technique for large groups (15+ people). Participants are divided into small subgroups, each addressing a different aspect of a problem. Each subgroup's output is passed to the next group for building and refinement. Named after the French ""charrette"" (cart) used in 19th-century architectural design.","When brainstorming with large groups where individual participation is difficult, when multiple related topics need exploration, or to synthesize ideas across many stakeholders",Brainwriting 6-3-5,"MindTools, ""The Charette Procedure""","https://www.mindtools.com/awydne8/the-charette-procedure"
Attribute Listing,Structured Ideation,process_improvement/incremental,"A creative thinking technique pioneered by Robert Crawford in 1954. Involves breaking down a product, process, or problem into its key attributes/features, then systematically modifying each attribute to generate new ideas.","When you need to systematically improve an existing product or process, or when incremental innovation through feature modification is the goal",SCAMPER,"Robert P. Crawford, ""Techniques of Creative Thinking"" (Hawthorn Books, 1954)","https://debpaulson.weebly.com/attribute-listing.html"
Morphological Analysis,Structured Problem Solving,new_product/complex_systems,"A method developed by Fritz Zwicky at Caltech for structuring and investigating complex, non-quantifiable problem spaces. Involves identifying all key parameters of a problem, listing possible values for each, and systematically exploring all combinations to find novel solutions.","When dealing with complex, multi-dimensional problems that resist quantification, when exploring all possible configurations of a system, or for foresight and scenario planning",Lotus Blossom,"Fritz Zwicky, ""Discovery, Invention, Research through the Morphological Approach"" (Macmillan, 1969)","https://www.swemorph.com/ma.html"
